,id,loglin,param,value
469,62,lin,Nmax,0.143236074270558
470,62,lin,rmax,0.4660168607337469
471,62,lin,tlag,0
472,63,log,N0,-2.0992200954861002
473,63,log,Nmax,-0.636822097587172
474,63,log,rmax,0.2890851140078129
475,63,log,tlag,0.9416973045607394
476,63,lin,N0,0.00795755968169809
477,63,lin,Nmax,0.230769230769232
478,63,lin,rmax,0.35635729048818504
479,63,lin,tlag,0
480,64,log,N0,-1.4002500911501001
481,64,log,Nmax,-0.053897116699473
482,64,log,rmax,0.5445118131883397
483,64,log,tlag,0.608761617413334
484,64,lin,N0,0.0397877984084887
485,64,lin,Nmax,0.883289124668435
486,64,lin,rmax,0.778031682348259
487,64,lin,tlag,0
488,65,log,N0,-2.57634135020569
489,65,log,Nmax,-0.5232629067223721
490,65,log,rmax,0.5179272039011662
491,65,log,tlag,1.7477729356796439
492,65,lin,N0,0.00265251989389981
493,65,lin,Nmax,0.299734748010611
494,65,lin,rmax,0.5692644729883426
495,65,lin,tlag,0.4287174869794741
496,66,log,N0,-1.9742813588778
497,66,log,Nmax,-0.245927576856602
498,66,log,rmax,0.3885796729749103
499,66,log,tlag,0.530409108718117
500,66,lin,N0,0.0106100795755975
501,66,lin,Nmax,0.5676392572944301
502,66,lin,rmax,0.41057902445342137
503,66,lin,tlag,0
504,67,log,N0,-2.57634135020577
505,67,log,Nmax,-0.45352176769658403
506,67,log,rmax,0.7279543372400563
507,67,log,tlag,0
508,67,lin,N0,0.0026525198938993602
509,67,lin,Nmax,0.35194778176522595
510,67,lin,rmax,0.7578184506510808
511,67,lin,tlag,0.28510241351674415
512,68,log,N0,-1.5763413502057901
513,68,log,Nmax,-0.0194219084361218
514,68,log,rmax,0.6324622915276221
515,68,log,tlag,0.14279766671647987
516,68,lin,N0,0.0265251989389923
517,68,lin,Nmax,0.9562646278670619
518,68,lin,rmax,0.9292571673073065
519,68,lin,tlag,0.07940649318238517
520,69,log,N0,-2.27488578421683
521,69,log,Nmax,-0.12402865198042501
522,69,log,rmax,0.5166133042579987
523,69,log,tlag,0.09632139877375233
524,69,lin,N0,0.00531024080719811
525,69,lin,Nmax,0.7515733083684399
526,69,lin,rmax,0.5620175640210245
527,69,lin,tlag,0.13079557241713136
528,70,log,N0,-2.57634135020577
529,70,log,Nmax,-0.0682528169692622
530,70,log,rmax,0.5711369753706942
531,70,log,tlag,0
532,70,lin,N0,0.0026525198938993602
533,70,lin,Nmax,0.854569095542726
534,70,lin,rmax,0.56718397455673
535,70,lin,tlag,0.5677704181620057
536,71,log,N0,-4.98288153063783
537,71,log,Nmax,-0.544188905576518
538,71,log,rmax,1.6282730677636654
539,71,log,tlag,0.14576599585010325
540,71,lin,N0,1.04020387996506e-05
541,71,lin,Nmax,0.28563478441774603
542,71,lin,rmax,0.675371672743169
543,71,lin,tlag,1.5499627307405837
544,72,log,N0,-1.87390159786447
545,72,log,Nmax,-0.10897861321457303
546,72,log,rmax,0.47361498693054366
547,72,log,tlag,0
548,72,lin,N0,0.0133689839572189
549,72,lin,Nmax,0.77807486631016
550,72,lin,rmax,0.6256214591588712
551,72,lin,tlag,0
552,73,log,N0,-2.2718416065365
553,73,log,Nmax,-0.7155391057692121
554,73,log,rmax,0.4808734343242393
555,73,log,tlag,0
556,73,lin,N0,0.00534759358288772
557,73,lin,Nmax,0.192513368983957
558,73,lin,rmax,0.6920311902517754
559,73,lin,tlag,0
560,74,log,N0,-1.6186290927611597
561,74,log,Nmax,-0.564271430438564
562,74,log,rmax,0.2654784428023693
563,74,log,tlag,0.7213359679933949
564,74,lin,N0,0.0240641711229943
565,74,lin,Nmax,0.272727272727272
566,74,lin,rmax,0.4103762045186515
567,74,lin,tlag,0
568,75,log,N0,-1.79472035181685
569,75,log,Nmax,-0.35538765798657396
570,75,log,rmax,0.36004762715897476
571,75,log,tlag,0
572,75,lin,N0,0.0160427807486627
573,75,lin,Nmax,0.44117647058823495
574,75,lin,rmax,0.5106122721019652
575,75,lin,tlag,0
576,76,log,N0,-1.87390159786447
577,76,log,Nmax,-0.436151035044074
578,76,log,rmax,0.443944216995656
579,76,log,tlag,0.0051552753319698595
580,76,lin,N0,0.0133689839572189
581,76,lin,Nmax,0.36631016042780695
582,76,lin,rmax,0.502741636162508
583,76,lin,tlag,0
584,77,log,N0,-1.72661079179441
585,77,log,Nmax,-0.6223188251637739
586,77,log,rmax,0.2825062438581101
587,77,log,tlag,0
588,77,lin,N0,0.0187667560321723
589,77,lin,Nmax,0.238605898123325
590,77,lin,rmax,0.39938782237007553
591,77,lin,tlag,0
592,78,log,N0,-1.6686188448167398
593,78,log,Nmax,-0.642289906094395
594,78,log,rmax,0.23405298045985654
595,78,log,tlag,0.32797420303559904
596,78,lin,N0,0.0214477211796251
597,78,lin,Nmax,0.227882037533512
598,78,lin,rmax,0.37916472263551654
599,78,lin,tlag,0
600,79,log,N0,-1.57170883180868
601,79,log,Nmax,-0.0288834048495077
602,79,log,rmax,1.1675410597985287
603,79,log,tlag,0.06143181392241341
604,79,lin,N0,0.0268096514745313
605,79,lin,Nmax,0.935656836461126
606,79,lin,rmax,1.940567089774536
607,79,lin,tlag,0.26059756761140856
608,80,log,N0,-1.79355758142503
609,80,log,Nmax,-0.0584912317407486
610,80,log,rmax,0.8001168503899145
611,80,log,tlag,0.4138974745189144
612,80,lin,N0,0.016085790884719
613,80,lin,Nmax,0.8739946380697049
614,80,lin,rmax,1.0645889821848808
615,80,lin,tlag,0
616,81,log,N0,-1.72777356218623
617,81,log,Nmax,-0.436151035044074
618,81,log,rmax,0.36076581834150123
