"","id","bet.AICc","bet.AIC","bet.BIC","bet.rsq"
"476",601,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"477",602,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"478",603,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"479",604,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"480",605,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"481",606,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"482",607,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"483",608,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"484",609,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"485",610,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"486",611,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"487",612,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"488",613,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"489",614,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"490",615,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"491",616,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"492",617,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"493",618,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"494",619,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"495",620,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"496",621,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"497",622,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"498",623,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"499",624,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"500",625,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"501",626,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"502",627,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"503",628,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"504",629,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"505",630,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"506",631,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"507",632,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"508",633,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"509",634,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"510",635,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"511",636,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"512",637,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"513",638,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"514",639,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"515",640,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"516",641,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"517",642,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"518",643,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"519",644,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"520",645,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
