"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"15222",870,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15223",900,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15224",930,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15225",960,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15226",990,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15227",1020,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15228",1050,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15229",0,0.093,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15230",30,0.092,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15231",60,0.092,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15232",90,0.093,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15233",120,0.094,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15234",150,0.095,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15235",180,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15236",210,0.099,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15237",240,0.101,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15238",270,0.105,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15239",300,0.107,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15240",330,0.111,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15241",360,0.115,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15242",390,0.12,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15243",420,0.124,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15244",450,0.128,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15245",480,0.131,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15246",510,0.137,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15247",540,0.14,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15248",570,0.145,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15249",600,0.147,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15250",630,0.15,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15251",660,0.154,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
